Name,PV_File,WIND_File
LA_GAVIA,PV_LA_GAVIA_20150101-20241231_merra2_8cc87e4acd.csv,Wind_LA_GAVIA_20150101-20241231_merra2_a6d7f2589a.csv
ARROYO_CULEBRO_CUENCA_MEDIA_ALTA,PV_ARROYO_CULEBRO_CUENCA_MEDIA_ALTA_20150101-20241231_merra2_d7cf0631f1.csv,Wind_ARROYO_CULEBRO_CUENCA_MEDIA_ALTA_20150101-20241231_merra2_a6d7f2589a.csv
ARROYO_CULEBRO_CUENCA_BAJA,PV_ARROYO_CULEBRO_CUENCA_BAJA_20150101-20241231_merra2_d7cf0631f1.csv,Wind_ARROYO_CULEBRO_CUENCA_BAJA_20150101-20241231_merra2_a6d7f2589a.csv
ARROYO_DEL_SOTO,PV_ARROYO_DEL_SOTO_20150101-20241231_merra2_d7cf0631f1.csv,Wind_ARROYO_DEL_SOTO_20150101-20241231_merra2_a6d7f2589a.csv
ARROYO_DE_LA_VEGA,PV_ARROYO_DE_LA_VEGA_20150101-20241231_merra2_8c2730ad5a.csv,Wind_ARROYO_DE_LA_VEGA_20150101-20241231_merra2_a6d7f2589a.csv
TORREJÓN_DE_ARDOZ,PV_TORREJÓN_DE_ARDOZ_20150101-20241231_merra2_8cc87e4acd.csv,Wind_TORREJÓN_DE_ARDOZ_20150101-20241231_merra2_a6d7f2589a.csv
PALOMARES,PV_PALOMARES_20150101-20241231_merra2_a5b06fb063.csv,Wind_PALOMARES_20150101-20241231_merra2_a6d7f2589a.csv
COPERO,PV_COPERO_20150101-20241231_merra2_a5b06fb063.csv,Wind_COPERO_20150101-20241231_merra2_a6d7f2589a.csv
LA_RANILLA,PV_LA_RANILLA_20150101-20241231_merra2_b1a083edd6.csv,Wind_LA_RANILLA_20150101-20241231_merra2_a6d7f2589a.csv
SAN_JERONIMO,PV_SAN_JERONIMO_20150101-20241231_merra2_b1a083edd6.csv,Wind_SAN_JERONIMO_20150101-20241231_merra2_a6d7f2589a.csv
CARTAGENA_CABEZO_BEAZA,PV_CARTAGENA_CABEZO_BEAZA_20150101-20241231_merra2_67d63df8fd.csv,Wind_CARTAGENA_CABEZO_BEAZA_20150101-20241231_merra2_a6d7f2589a.csv
